displayName,sku,parentSku,itemQty,grossWeight,is_parent,parentDisplayName,parentGrossWeight,correctGrossWeight,isCorrectGrossWeight
Katyayani chakrawarti (Thiamethoxam 12.6 % lambda cyhalothrin 9.5 % zc) 250ml x 12,K-392,K-388,12,3.3,false,Katyayani chakrawarti (Thiamethoxam 12.6 % lambda cyhalothrin 9.5 % zc) 250ml x 1,0.275,3.3,true
Katyayani chakrawarti (Thiamethoxam 12.6 % lambda cyhalothrin 9.5 % zc) 100ml x 2,K-6690,K-5774,2,0.22,false,Katyayani chakrawarti (Thiamethoxam 12.6 % lambda cyhalothrin 9.5 % zc) 100ml x 1,0.11,0.22,true
Katyayani BT Bio Larvicide liquid 1 Ltr x 3,K-421,K-420,3,3.3,false,Katyayani BT Bio Larvicide liquid 1 Ltr x 1,1.1,3.3,true
Katyayani Ashwamedh Diafenthiuron 50% WP 250gm x 6,K-364,K-361,6,1.65,false,Katyayani Ashwamedh Diafenthiuron 50% WP 250gm x 1,0.275,1.65,true
Katyayani Thiamethoxam 30% FS - Docter 1 Ltr x 5,K-307,K-306,5,5.5,false,Katyayani Thiamethoxam 30% FS - Docter 1 Ltr x 1,1.1,5.5,true
Katyayani nashak (Fipronil 40% + Imidacloprid 40%) 100gm x 50,K-360,K-354,50,5.5,false,Katyayani nashak (Fipronil 40% + Imidacloprid 40%) 100gm x 1,0.11,5.5,true
Katyayani chakrawarti (Thiamethoxam 12.6 % lambda cyhalothrin 9.5 % zc) 100ml x 100,K-5781,K-5774,100,11,false,Katyayani chakrawarti (Thiamethoxam 12.6 % lambda cyhalothrin 9.5 % zc) 100ml x 1,0.11,11,true
Katyayani BPH Super (Pymetrozine 50 % wg) 150gm x 40,K-5780,K-5753,40,6.6,false,Katyayani BPH Super (Pymetrozine 50 % wg) 150 gm x 1,0.165,6.6,true
Katyayani Deltamethrin 1.25 ULV 1000ml x 10,K-216,K-214,10,11,false,Katyayani Deltamethrin 1.25 ULV 1 ltr x 1,1.1,11,true
Katyayani Apocalypse - Dinotefuran 20 % SG 100gm x 7,K-418,K-416,7,0.77,false,Katyayani Apocalypse - Dinotefuran 20 % SG 100gm x 1,0.11,0.77,true
