"displayName","sku","parentSku","itemQty","grossWeight","is_parent","parentDisplayName","parentGrossWeight","correctGrossWeight","isCorrectGrossWeight"
"Katyayani MALATHION 50% EC 1 Ltr x 1","K-299","K-299",1,1.1,true,"Katyayani MALATHION 50% EC 1 Ltr x 1",1.1,1.1,true
"Katyayani imida 30.5 - Imidacloprid 30.5 % SC 5ltr x 1","K-5025","K-5025",1,5.5,true,"Katyayani imida 30.5 - Imidacloprid 30.5 % SC 5ltr x 1",5.5,5.5,true
"Katyayani Virat 505 (chlorpyriphos 50%+ cypermethrin 5% ec) 250 ml x 1","K-6364","K-6364",1,0.275,true,"Katyayani Virat 505 (chlorpyriphos 50%+ cypermethrin 5% ec) 250 ml x 1",0.275,0.275,true
"Katyayani Thiamethoxam 30% FS - Docter 500ml x 1","K-6244","K-6244",1,0.55,true,"Katyayani Thiamethoxam 30% FS - Docter 500ml x 1",0.55,0.55,true
"Katyayani K-Acepro 250gm x 1","K-188","K-188",1,0.275,true,"Katyayani K-Acepro 250gm x 1",0.275,0.275,true
"Katyayani chloropyriphos 20%  EC 30ltr x 1","K-6608","K-6608",1,33,true,"Katyayani chloropyriphos 20%  EC 30ltr x 1",33,33,true
"Katyayani Propcyp - Profenofos 40 % + Cypermethrin 4 % ec 5ltr x 1","K-6086","K-6086",1,5.5,true,"Katyayani Propcyp - Profenofos 40 % + Cypermethrin 4 % ec 5ltr x 1",5.5,5.5,true
"Katyayani Finish it 100ml x 1","K-409","K-409",1,0.11,true,"Katyayani Finish it 100ml x 1",0.11,0.11,true
"Katyayani Pyrethrum Extract 5Ltr x 1","K-5319","K-5319",1,5.5,true,"Katyayani Pyrethrum Extract 5Ltr x 1",5.5,5.5,true
"Katyayani Imd-70 - Imidacloprid 70 % WG 2 gm x 1","K-6383","K-6383",1,0.0022,true,"Katyayani Imd-70 - Imidacloprid 70 % WG 2 gm x 1",0.0022,0.0022,true
"Katyayani K-Acepro 1 kg x 1","K-6336","K-6336",1,1.1,true,"Katyayani K-Acepro 1 kg x 1",1.1,1.1,true
"Katyayani Virat 505 (chlorpyriphos 50%+ cypermethrin 5% ec) 1 ltr x 1","K-6366","K-6366",1,1.1,true,"Katyayani Virat 505 (chlorpyriphos 50%+ cypermethrin 5% ec) 1 ltr x 1",1.1,1.1,true
"Katyayani EMA5 - Emamectin benzoate 5 % SG 100gm x 1","K-317","K-317",1,0.11,true,"Katyayani EMA5 - Emamectin benzoate 5 % SG 100gm x 1",0.11,0.11,true
"Katyayani Attack CS 250ml x 1","K-395","K-395",1,0.275,true,"Katyayani Attack CS 250ml x 1",0.275,0.275,true
"Katyayani Verticillium lecanii 1 Ltr x 1","K-248","K-248",1,1.1,true,"Katyayani Verticillium lecanii 1 Ltr x 1",1.1,1.1,true
