category,sub_category,sku,parentSku,bulk,variant_name,displayName,grossWeight,netWeight,itemQty,,,,,,,,,,,,,,,,,,
Fertilizer,Bio Fertilizer,K-69,K-69,BK-917,1 Ltr x 1,Rhizobium spp 1 Ltr x 1,1.1,1,1,,,,,,,,,,,,,,,,,,
Fertilizer,Bio Fertilizer,K-70,K-69,BK-917,1 Ltr x 3,Rhizobium spp 1 Ltr x 3,3.3,3,3,,,,,,,,,,,,,,,,,,
Fertilizer,Bio Fertilizer,K-71,K-69,BK-917,1 Ltr x 5,Rhizobium spp 1 Ltr x 5,5.5,5,5,,,,,,,,,,,,,,,,,,
Fertilizer,Bio Fertilizer,K-72,K-69,BK-917,1 Ltr x 10,Rhizobium spp 1 Ltr x 10,11,10,10,,,,,,,,,,,,,,,,,,
Fertilizer,Bio Fertilizer,K-5988,K-5988,BK-917,25LTR X 1,Rhizobium spp 25LTR X 1,27.5,25,1,,,,,,,,,,,,,,,,,,
Fertilizer,Bio Fertilizer,K-73,K-73,BK-994,1 Ltr x 1,Azotobacter spp 1 Ltr x 1,1.1,1,1,,,,,,,,,,,,,,,,,,
Fertilizer,Bio Fertilizer,K-74,K-73,BK-994,1 Ltr x 3,Azotobacter spp 1 Ltr x 3,3.3,3,3,,,,,,,,,,,,,,,,,,
Fertilizer,Bio Fertilizer,K-75,K-73,BK-994,1 Ltr x 5,Azotobacter spp 1 Ltr x 5,5.5,5,5,,,,,,,,,,,,,,,,,,
Fertilizer,Bio Fertilizer,K-76,K-73,BK-994,1 Ltr x 10,Azotobacter spp 1 Ltr x 10,11,10,10,,,,,,,,,,,,,,,,,,
Fertilizer,Bio Fertilizer,K-6371,K-6371,BK-994,25 ltr x 1,Azotobacter spp 25 ltr x 1,27.5,25,1,,,,,,,,,,,,,,,,,,
Fertilizer,Bio Fertilizer,K-77,K-77,BK-652,1 Ltr x 1,Azospirillum spp 1 Ltr x 1,1.1,1,1,,,,,,,,,,,,,,,,,,
Fertilizer,Bio Fertilizer,K-78,K-77,BK-652,1 Ltr x 3,Azospirillum spp 1 Ltr x 3,3.3,3,3,,,,,,,,,,,,,,,,,,
Fertilizer,Bio Fertilizer,K-79,K-77,BK-652,1 Ltr x 5,Azospirillum spp 1 Ltr x 5,5.5,5,5,,,,,,,,,,,,,,,,,,
Fertilizer,Bio Fertilizer,K-80,K-77,BK-652,1 Ltr x 10,Azospirillum spp 1 Ltr x 10,11,10,10,,,,,,,,,,,,,,,,,,
Fertilizer,Bio Fertilizer,K-5895,K-5895,BK-652,25Ltr x 1,Azospirillum spp 25Ltr x 1,27.5,25,1,,,,,,,,,,,,,,,,,,
Fertilizer,Bio Fertilizer,K-81,K-81,BK-911,1 Ltr x 1,Acetobacter spp 1 Ltr x 1,1.1,1,1,,,,,,,,,,,,,,,,,,
Fertilizer,Bio Fertilizer,K-82,K-81,BK-911,1 Ltr x 3,Acetobacter spp 1 Ltr x 3,3.3,3,3,,,,,,,,,,,,,,,,,,
Fertilizer,Bio Fertilizer,K-83,K-81,BK-911,1 Ltr x 5,Acetobacter spp 1 Ltr x 5,5.5,5,5,,,,,,,,,,,,,,,,,,
Fertilizer,Bio Fertilizer,K-84,K-81,BK-911,1 Ltr x 10,Acetobacter spp 1 Ltr x 10,11,10,10,,,,,,,,,,,,,,,,,,
Fertilizer,Bio Fertilizer,K-5991,K-5991,BK-911,25ltr x 1,Acetobacter spp 25ltr x 1,27.5,25,1,,,,,,,,,,,,,,,,,,
Fertilizer,Bio Fertilizer,K-7198,K-7198,BK-790,500 ml x 1,Phosphate Solubilizing Bacteria 500 ml x 1,0.55,0.5,1,,,,,,,,,,,,,,,,,,
Fertilizer,Bio Fertilizer,K-85,K-85,BK-790,1 Ltr x 1,Phosphate Solubilizing Bacteria 1 Ltr x 1,1.1,1,1,,,,,,,,,,,,,,,,,,
Fertilizer,Bio Fertilizer,K-86,K-85,BK-790,1 Ltr x 3,Phosphate Solubilizing Bacteria 1 Ltr x 3,3.3,3,3,,,,,,,,,,,,,,,,,,
Fertilizer,Bio Fertilizer,K-87,K-85,BK-790,1 Ltr x 5,Phosphate Solubilizing Bacteria 1 Ltr x 5,5.5,5,5,,,,,,,,,,,,,,,,,,
Fertilizer,Bio Fertilizer,K-6991,K-6991,BK-790,5 Ltr x 1,Phosphate Solubilizing Bacteria 5 Ltr x 1,5.5,5,1,,,,,,,,,,,,,,,,,,
Fertilizer,Bio Fertilizer,K-88,K-85,BK-790,1 Ltr x 10,Phosphate Solubilizing Bacteria 1 Ltr x 10,11,10,10,,,,,,,,,,,,,,,,,,
Fertilizer,Bio Fertilizer,K-6711,K-6711,BK-790,25ltr x 1,Phosphate Solubilizing Bacteria 25ltr x 1,27.5,25,1,,,,,,,,,,,,,,,,,,
Fertilizer,Bio Fertilizer,K-89,K-89,BK-918,1 Ltr x 1,Potash Mobilizing Bacteria 1 Ltr x 1,1.1,1,1,,,,,,,,,,,,,,,,,,
Fertilizer,Bio Fertilizer,K-90,K-89,BK-918,1 Ltr x 3,Potash Mobilizing Bacteria 1 Ltr x 3,3.3,3,3,,,,,,,,,,,,,,,,,,
Fertilizer,Bio Fertilizer,K-91,K-89,BK-918,1 Ltr x 5,Potash Mobilizing Bacteria 1 Ltr x 5,5.5,5,5,,,,,,,,,,,,,,,,,,
Fertilizer,Bio Fertilizer,K-92,K-89,BK-918,1 Ltr x 10,Potash Mobilizing Bacteria 1 Ltr x 10,11,10,10,,,,,,,,,,,,,,,,,,
Fertilizer,Bio Fertilizer,K-5827,K-5827,BK-918,50 ltr x 1,Potash Mobilizing Bacteria 50 ltr x 1,55,50,1,,,,,,,,,,,,,,,,,,
Fertilizer,Bio Fertilizer,K-6712,K-6712,BK-918,25ltr x 1,Potash Mobilizing Bacteria 25ltr x 1,27.5,25,1,,,,,,,,,,,,,,,,,,
Fertilizer,Bio Fertilizer,K-93,K-93,BK-998,1 Ltr x 1,Zinc Solubiilizing Bacteria 1 Ltr x 1,1.1,1,1,,,,,,,,,,,,,,,,,,
Fertilizer,Bio Fertilizer,K-6900,K-93,BK-998,1 Ltr x 2,Zinc Solubiilizing Bacteria 1 Ltr x 2,2.2,2,2,,,,,,,,,,,,,,,,,,
Fertilizer,Bio Fertilizer,K-94,K-93,BK-998,1 Ltr x 3,Zinc Solubiilizing Bacteria 1 Ltr x 3,3.3,3,3,,,,,,,,,,,,,,,,,,
Fertilizer,Bio Fertilizer,K-95,K-93,BK-998,1 Ltr x 5,Zinc Solubiilizing Bacteria 1 Ltr x 5,5.5,5,5,,,,,,,,,,,,,,,,,,
Fertilizer,Bio Fertilizer,K-96,K-93,BK-998,1 Ltr x 10,Zinc Solubiilizing Bacteria 1 Ltr x 10,11,10,10,,,,,,,,,,,,,,,,,,
Fertilizer,Bio Fertilizer,K-6716,K-6716,BK-998,25ltr x 1,Zinc Solubiilizing Bacteria 25ltr x 1,27.5,25,1,,,,,,,,,,,,,,,,,,
Fertilizer,Bio Fertilizer,K-97,K-97,BK-902,1 Ltr x 1,Sulphur & Iron Bacteria 1 Ltr x 1,1.1,1,1,,,,,,,,,,,,,,,,,,
Fertilizer,Bio Fertilizer,K-6901,K-97,BK-902,1 Ltr x 2,Sulphur & Iron Bacteria 1 Ltr x 2,2.2,2,2,,,,,,,,,,,,,,,,,,
Fertilizer,Bio Fertilizer,K-98,K-97,BK-902,1 Ltr x 3,Sulphur & Iron Bacteria 1 Ltr x 3,3.3,3,3,,,,,,,,,,,,,,,,,,
Fertilizer,Bio Fertilizer,K-99,K-97,BK-902,1 Ltr x 5,Sulphur & Iron Bacteria 1 Ltr x 5,5.5,5,5,,,,,,,,,,,,,,,,,,
Fertilizer,Bio Fertilizer,K-100,K-97,BK-902,1 Ltr x 10,Sulphur & Iron Bacteria 1 Ltr x 10,11,10,10,,,,,,,,,,,,,,,,,,
Fertilizer,Bio Fertilizer,K-6715,K-6715,BK-902,25ltr x 1,Sulphur & Iron Bacteria 25ltr x 1,27.5,25,1,,,,,,,,,,,,,,,,,,
Fertilizer,Bio Fertilizer,K-5830,K-5830,BK-903,100ml x 1,compost activator 100ml x 1,0.11,0.1,1,,,,,,,,,,,,,,,,,,
Fertilizer,Bio Fertilizer,K-101,K-101,BK-903,1 Ltr x 1,compost activator 1 Ltr x 1,1.1,1,1,,,,,,,,,,,,,,,,,,
