"displayName","sku","parentSku","itemQty","grossWeight","is_parent"
"Katyayani chakrawarti (Thiamethoxam 12.6 % lambda cyhalothrin 9.5 % zc) 250ml x 12","K-392","K-388",12,3.3,false
"Katyayani chakrawarti (Thiamethoxam 12.6 % lambda cyhalothrin 9.5 % zc) 100ml x 2","K-6690","K-5774",2,0.22,false
"Katyayani BT Bio Larvicide liquid 1 Ltr x 3","K-421","K-420",3,3.3,false
"Katyayani Ashwamedh Diafenthiuron 50% WP 250gm x 6","K-364","K-361",6,1.65,false
"Katyayani Thiamethoxam 30% FS - Docter 1 Ltr x 5","K-307","K-306",5,5.5,false
"Katyayani nashak (Fipronil 40% + Imidacloprid 40%) 100gm x 50","K-360","K-354",50,5.5,false
"Katyayani chakrawarti (Thiamethoxam 12.6 % lambda cyhalothrin 9.5 % zc) 100ml x 100","K-5781","K-5774",100,11,false
"Katyayani BPH Super (Pymetrozine 50 % wg) 150gm x 40","K-5780","K-5753",40,6.6,false
"Katyayani Deltamethrin 1.25 ULV 1000ml x 10","K-216","K-214",10,11,false
"Katyayani Apocalypse - Dinotefuran 20 % SG 100gm x 7","K-418","K-416",7,0.77,false
"Katyayani Propcyp - Profenofos 40 % + Cypermethrin 4 % ec 1 Ltr x 10","K-170","K-167",10,11,false
"Katyayani EMA5 - Emamectin benzoate 5 % SG 250gm x 80","K-324","K-318",80,22,false
"Katyayani Attack CS 250ml x 3","K-396","K-395",3,0.825,false
"Katyayani Ashwamedh Diafenthiuron 50% WP 250gm x 2","K-5282","K-361",2,0.55,false
"Katyayani Finish it 100ml x 16","K-412","K-409",16,1.76,false
"Katyayani Temephos 50 EC 1 Ltr x 10","K-287","K-284",10,11,false
"Katyayani EMA5 - Emamectin benzoate 5 % SG 500gm x 10","K-5717","K-5428",10,5.5,false
"Katyayani BT Bio Larvicide liquid 1 Ltr x 10","K-423","K-420",10,11,false
"Katyayani KPOP- Propoxur 20% EC 1 ltr x 10","K-426","K-959",10,11,true
"Katyayani BPH Super (Pymetrozine 50 % wg) 150gm x 4","K-5777","K-5753",4,0.66,false
"Katyayani chlorpyriphos 50%+ cypermethrin 5% ec Docter 505 1 Ltr x 50","K-265","K-261",50,55,false
"Katyayani BPH Super (Pymetrozine 50 % wg) 150gm x 20","K-5779","K-5753",20,3.3,false
"Katyayani chloropyriphos 20%cs 1 Ltr x 5","K-275","K-273",5,5.5,false
"Katyayani chlorpyriphos 50%+ cypermethrin 5% ec Docter 505 1 Ltr x 10","K-264","K-261",10,11,false
"Katyayani K-Acepro 250gm x 4","K-191","K-188",4,1.1,false
"Katyayani EMA5 - Emamectin benzoate 5 % SG 250gm x 4","K-320","K-318",4,1.1,false
"Katyayani IMD 178 - Imidacloprid 17.8 % SL 1 Ltr x 10","K-342","K-338",10,11,false
"Katyayani Propcyp - Profenofos 40 % + Cypermethrin 4 % ec 1 Ltr x 50","K-172","K-167",50,55,false
"Katyayani emathio (Emamectin benzoate 3 % thiamethoxam 12 % wg) 1kg x 3","K-5720","K-5719",3,3.3,false
"Katyayani neem oil 900ml x 10","K-208","K-205",10,9.9,false
