"skuDisplayName","parentDisplayName","sku","parentSku","itemQty","skuGrossWeight","parentGrossWeight","expectedGrossWeight"
"Katyayani chakrawarti (Thiamethoxam 12.6 % lambda cyhalothrin 9.5 % zc) 250ml x 12","Katyayani chakrawarti (Thiamethoxam 12.6 % lambda cyhalothrin 9.5 % zc) 250ml x 1","K-392","K-388",12,3.3,0.275,
"Katyayani chakrawarti (Thiamethoxam 12.6 % lambda cyhalothrin 9.5 % zc) 100ml x 2","Katyayani chakrawarti (Thiamethoxam 12.6 % lambda cyhalothrin 9.5 % zc) 100ml x 1","K-6690","K-5774",2,0.22,0.11,
"Katyayani BT Bio Larvicide liquid 1 Ltr x 3","Katyayani BT Bio Larvicide liquid 1 Ltr x 1","K-421","K-420",3,3.3,1.1,
"Katyayani MALATHION 50% EC 1 Ltr x 1","Katyayani MALATHION 50% EC 1 Ltr x 1","K-299","K-299",1,1.1,1.1,
"Katyayani imida 30.5 - Imidacloprid 30.5 % SC 5ltr x 1","Katyayani imida 30.5 - Imidacloprid 30.5 % SC 5ltr x 1","K-5025","K-5025",1,5.5,5.5,
"Katyayani Virat 505 (chlorpyriphos 50%+ cypermethrin 5% ec) 250 ml x 1","Katyayani Virat 505 (chlorpyriphos 50%+ cypermethrin 5% ec) 250 ml x 1","K-6364","K-6364",1,0.275,0.275,
"Katyayani Thiamethoxam 30% FS - Docter 500ml x 1","Katyayani Thiamethoxam 30% FS - Docter 500ml x 1","K-6244","K-6244",1,0.55,0.55,
"Katyayani Ashwamedh Diafenthiuron 50% WP 250gm x 6","Katyayani Ashwamedh Diafenthiuron 50% WP 250gm x 1","K-364","K-361",6,1.65,0.275,
"Katyayani Thiamethoxam 30% FS - Docter 1 Ltr x 5","Katyayani Thiamethoxam 30% FS - Docter 1 Ltr x 1","K-307","K-306",5,5.5,1.1,
"Katyayani nashak (Fipronil 40% + Imidacloprid 40%) 100gm x 50","Katyayani nashak (Fipronil 40% + Imidacloprid 40%) 100gm x 1","K-360","K-354",50,5.5,0.11,
