sku,displayName,mongodb_displayName,mismatch_fields,,
K-69,Rhizobium spp 1 Ltr x 1,Katyayani Rhizobium spp 1 Ltr x 1,displayName,,
K-70,Rhizobium spp 1 Ltr x 3,Katyayani Rhizobium spp 1 Ltr x 3,displayName,,
K-71,Rhizobium spp 1 Ltr x 5,Katyayani Rhizobium spp 1 Ltr x 5,displayName,,
K-72,Rhizobium spp 1 Ltr x 10,Katyayani Rhizobium spp 1 Ltr x 10,displayName,,
K-5988,Rhizobium spp 25LTR X 1,Katyayani Rhizobium spp 25LTR X 1,displayName,,
K-73,Azotobacter spp 1 Ltr x 1,Katyayani Azotobacter spp 1 Ltr x 1,displayName,,
K-74,Azotobacter spp 1 Ltr x 3,Katyayani Azotobacter spp 1 Ltr x 3,displayName,,
K-75,Azotobacter spp 1 Ltr x 5,Katyayani Azotobacter spp 1 Ltr x 5,displayName,,
K-76,Azotobacter spp 1 Ltr x 10,Katyayani Azotobacter spp 1 Ltr x 10,displayName,,
K-6371,Azotobacter spp 25 ltr x 1,Katyayani Azotobacter spp 25 ltr x 1,displayName,,
K-77,Azospirillum spp 1 Ltr x 1,Katyayani Azospirillum spp 1 Ltr x 1,displayName,,
K-78,Azospirillum spp 1 Ltr x 3,Katyayani Azospirillum spp 1 Ltr x 3,displayName,,
K-79,Azospirillum spp 1 Ltr x 5,Katyayani Azospirillum spp 1 Ltr x 5,displayName,,
K-80,Azospirillum spp 1 Ltr x 10,Katyayani Azospirillum spp 1 Ltr x 10,displayName,,
K-5895,Azospirillum spp 25Ltr x 1,Katyayani Azospirillum spp 25Ltr x 1,displayName,,
K-81,Acetobacter spp 1 Ltr x 1,Katyayani Acetobacter spp 1 Ltr x 1,displayName,,
K-82,Acetobacter spp 1 Ltr x 3,Katyayani Acetobacter spp 1 Ltr x 3,displayName,,
K-83,Acetobacter spp 1 Ltr x 5,Katyayani Acetobacter spp 1 Ltr x 5,displayName,,
K-84,Acetobacter spp 1 Ltr x 10,Katyayani Acetobacter spp 1 Ltr x 10,displayName,,
K-5991,Acetobacter spp 25ltr x 1,Katyayani Acetobacter spp 25ltr x 1,displayName,,
K-7198,Phosphate Solubilizing Bacteria 500 ml x 1,Phosphate Solubilizing Bacteria Bio Fertilizer 500ml x 1,"displayName,variant_name",,
K-85,Phosphate Solubilizing Bacteria 1 Ltr x 1,Katyayani Phosphate Solubilizing Bacteria 1 Ltr x 1,displayName,,
K-86,Phosphate Solubilizing Bacteria 1 Ltr x 3,Katyayani Phosphate Solubilizing Bacteria 1 Ltr x 3,displayName,,
K-87,Phosphate Solubilizing Bacteria 1 Ltr x 5,Katyayani Phosphate Solubilizing Bacteria 1 Ltr x 5,displayName,,
K-6991,Phosphate Solubilizing Bacteria 5 Ltr x 1,Katyayani Phosphate Solubilizing Bacteria 5 Ltr x 1,displayName,,
K-88,Phosphate Solubilizing Bacteria 1 Ltr x 10,Katyayani Phosphate Solubilizing Bacteria 1 Ltr x 10,displayName,,
K-6711,Phosphate Solubilizing Bacteria 25ltr x 1,Katyayani Phosphate Solubilizing Bacteria 25ltr x 1,displayName,,
K-89,Potash Mobilizing Bacteria 1 Ltr x 1,Katyayani Potash Mobilizing Bacteria 1 Ltr x 1,displayName,,
K-90,Potash Mobilizing Bacteria 1 Ltr x 3,Katyayani Potash Mobilizing Bacteria 1 Ltr x 3,displayName,,
K-91,Potash Mobilizing Bacteria 1 Ltr x 5,Katyayani Potash Mobilizing Bacteria 1 Ltr x 5,displayName,,
K-92,Potash Mobilizing Bacteria 1 Ltr x 10,Katyayani Potash Mobilizing Bacteria 1 Ltr x 10,displayName,,
K-5827,Potash Mobilizing Bacteria 50 ltr x 1,Katyayani Potash Mobilizing Bacteria 50 ltr x 1,displayName,,
K-6712,Potash Mobilizing Bacteria 25ltr x 1,Katyayani Potash Mobilizing Bacteria 25ltr x 1,displayName,,
K-93,Zinc Solubiilizing Bacteria 1 Ltr x 1,Katyayani Zinc Solubiilizing Bacteria 1 Ltr x 1,displayName,,
K-6900,Zinc Solubiilizing Bacteria 1 Ltr x 2,Katyayani Zinc Solubiilizing Bacteria 1 Ltr x 2,displayName,,
K-94,Zinc Solubiilizing Bacteria 1 Ltr x 3,Katyayani Zinc Solubiilizing Bacteria 1 Ltr x 3,displayName,,
K-95,Zinc Solubiilizing Bacteria 1 Ltr x 5,Katyayani Zinc Solubiilizing Bacteria 1 Ltr x 5,displayName,,
K-96,Zinc Solubiilizing Bacteria 1 Ltr x 10,Katyayani Zinc Solubiilizing Bacteria 1 Ltr x 10,displayName,,
K-6716,Zinc Solubiilizing Bacteria 25ltr x 1,Katyayani Zinc Solubiilizing Bacteria 25ltr x 1,displayName,,
K-97,Sulphur & Iron Bacteria 1 Ltr x 1,Katyayani Sulphur & Iron Bacteria 1 Ltr x 1,displayName,,
K-6901,Sulphur & Iron Bacteria 1 Ltr x 2,Katyayani Sulphur & Iron Bacteria 1 Ltr x 2,displayName,,
K-98,Sulphur & Iron Bacteria 1 Ltr x 3,Katyayani Sulphur & Iron Bacteria 1 Ltr x 3,displayName,,
K-99,Sulphur & Iron Bacteria 1 Ltr x 5,Katyayani Sulphur & Iron Bacteria 1 Ltr x 5,displayName,,
K-100,Sulphur & Iron Bacteria 1 Ltr x 10,Katyayani Sulphur & Iron Bacteria 1 Ltr x 10,displayName,,
K-6715,Sulphur & Iron Bacteria 25ltr x 1,Katyayani Sulphur & Iron Bacteria 25ltr x 1,displayName,,
K-5830,compost activator 100ml x 1,Katyayani compost activator 100ml x 1,displayName,,
K-101,compost activator 1 Ltr x 1,Katyayani compost activator 1 Ltr x 1,displayName,,
K-102,compost activator 1 Ltr x 3,Katyayani compost activator 1 Ltr x 3,displayName,,
K-103,compost activator 1 Ltr x 5,Katyayani compost activator 1 Ltr x 5,displayName,,
K-104,compost activator 1 Ltr x 10,Katyayani compost activator 1 Ltr x 10,displayName,,
K-6739,compost activator 25 Ltr x 1,Katyayani compost activator 25 Ltr x 1,displayName,,
K-6908,Liquid Consortia - Bio NPK 100ml x 1,Katyayani Liquid Consortia - Bio NPK 100ml x 1,displayName,,
K-105,Liquid Consortia - Bio NPK 1 Ltr x 1,Katyayani Liquid Consortia - Bio NPK 1 Ltr x 1,displayName,,
K-6895,Liquid Consortia - Bio NPK 1 Ltr x 2,Katyayani Liquid Consortia - Bio NPK 1 Ltr x 2,displayName,,
K-106,Liquid Consortia - Bio NPK 1 Ltr x 3,Katyayani Liquid Consortia - Bio NPK 1 Ltr x 3,displayName,,
K-107,Liquid Consortia - Bio NPK 1 Ltr x 5,Katyayani Liquid Consortia - Bio NPK 1 Ltr x 5,displayName,,
K-108,Liquid Consortia - Bio NPK 1 Ltr x 10,Katyayani Liquid Consortia - Bio NPK 1 Ltr x 10,displayName,,
K-6246,Liquid Consortia - Bio NPK 20 ltr x 1,Katyayani Liquid Consortia - Bio NPK 20 ltr x 1,displayName,,
K-6713,Liquid Consortia - Bio NPK 25ltr x 1,Katyayani Liquid Consortia - Bio NPK 25ltr x 1,displayName,,
K-109,VAM (Vesicular Arbuscular Mycorrhiza) 1 Ltr x 1,Katyayani VAM (Vesicular Arbuscular Mycorrhiza) 1 Ltr x 1,displayName,,
K-110,VAM (Vesicular Arbuscular Mycorrhiza) 1 Ltr x 3,Katyayani VAM (Vesicular Arbuscular Mycorrhiza) 1 Ltr x 3,displayName,,
K-111,VAM (Vesicular Arbuscular Mycorrhiza) 1 Ltr x 5,Katyayani VAM (Vesicular Arbuscular Mycorrhiza) 1 Ltr x 5,displayName,,
K-6990,VAM (Vesicular Arbuscular Mycorrhiza) 5 Ltr x 1,Katyayani VAM (Vesicular Arbuscular Mycorrhiza) 5 Ltr x 1,displayName,,
K-112,VAM (Vesicular Arbuscular Mycorrhiza) 1 Ltr x 10,Katyayani VAM (Vesicular Arbuscular Mycorrhiza) 1 Ltr x 10,displayName,,
K-5829,VAM (Vesicular Arbuscular Mycorrhiza) 100ml x 1,Katyayani VAM (Vesicular Arbuscular Mycorrhiza) 100ml x 1,displayName,,
K-6369,VAM (Vesicular Arbuscular Mycorrhiza) 25 ltr x 1,Katyayani VAM (Vesicular Arbuscular Mycorrhiza) 25 ltr x 1,displayName,,
K-5370,VAM (Vesicular Arbuscular Mycorrhiza) 1kg x 1,Katyayani VAM (Vesicular Arbuscular Mycorrhiza) 1kg x 1,displayName,,
K-980,MYCORRHIZA 470gm x 1,Katyayani MYCORRHIZA 470gm x 1,displayName,,
K-981,MYCORRHIZA 900gm x 1,Katyayani MYCORRHIZA 900gm x 1,displayName,,
K-5325,MYCORRHIZA 1kg x 1,Katyayani MYCORRHIZA 1kg x 1,displayName,,
K-1166,MYCORRHIZA 970gm x 1,Katyayani MYCORRHIZA 970gm x 1,displayName,,
K-5284,MYCORRHIZA 1kg x 5,Katyayani MYCORRHIZA 1kg x 5,displayName,,
K-5401,BACSIL SILICA SOLUBIZING BACTERIA 1Ltr x 1,Katyayani BACSIL SILICA SOLUBIZING BACTERIA 1Ltr x 1,displayName,,
K-5402,BACSIL SILICA SOLUBIZING BACTERIA 1Ltr x 3,Katyayani BACSIL SILICA SOLUBIZING BACTERIA 1Ltr x 3,displayName,,
K-5403,BACSIL SILICA SOLUBIZING BACTERIA 1Ltr x 5,Katyayani BACSIL SILICA SOLUBIZING BACTERIA 1Ltr x 5,displayName,,
K-5404,BACSIL SILICA SOLUBIZING BACTERIA 1Ltr x 10,Katyayani BACSIL SILICA SOLUBIZING BACTERIA 1Ltr x 10,displayName,,
K-6909,Bio Npk consortia powder 100 gm x 1,Katyayani Bio Npk consortia powder 100 gm x 1,displayName,,
K-5658,Bio Npk consortia powder 250gm x 1,Katyayani Bio Npk consortia powder 250gm x 1,displayName,,
