category,mongodb_category,isCorrect_category,sub_category,mongodb_sub_category,isCorrect_sub_category,sku,,parentSku,,,bulk,mongodb_bulk,isCorrect_bulk,variant_name,mongodb_variant_name,isCorrect_variant_name,displayName,mongodb_displayName,isCorrect_displayName,grossWeight,mongodb_grossWeight,isCorrect_grossWeight,netWeight,mongodb_netWeight,isCorrect_netWeight,itemQty,mongodb_itemQty,isCorrect_itemQty,,,mongodb_displayName,isCorrect_displayName,mongodb_variant_name,isCorrect_variant_name,mongodb_grossWeight,isCorrect_grossWeight,mongodb_netWeight,isCorrect_netWeight,mongodb_itemQty,isCorrect_itemQty,mongodb_category,isCorrect_category,mongodb_sub_category,isCorrect_sub_category,mongodb_bulk,isCorrect_bulk,mismatch_fields,,
Fertilizer,Fertilizer,true,Bio Fertilizer,Bio Fertilizer,true,K-69,,K-69,,,BK-917,BK-917,true,1 Ltr x 1,1 Ltr x 1,true,Rhizobium spp 1 Ltr x 1,Katyayani Rhizobium spp 1 Ltr x 1,false,1.1,1.1,true,1,1,true,1,1,true,,,Katyayani Rhizobium spp 1 Ltr x 1,false,1 Ltr x 1,true,1.1,true,1,true,1,true,Fertilizer,true,Bio Fertilizer,true,BK-917,true,displayName,,
Fertilizer,Fertilizer,true,Bio Fertilizer,Bio Fertilizer,true,K-70,,K-69,,,BK-917,BK-917,true,1 Ltr x 3,1 Ltr x 3,true,Rhizobium spp 1 Ltr x 3,Katyayani Rhizobium spp 1 Ltr x 3,false,3.3,3.3,true,3,3,true,3,3,true,,,Katyayani Rhizobium spp 1 Ltr x 3,false,1 Ltr x 3,true,3.3,true,3,true,3,true,Fertilizer,true,Bio Fertilizer,true,BK-917,true,displayName,,
Fertilizer,Fertilizer,true,Bio Fertilizer,Bio Fertilizer,true,K-71,,K-69,,,BK-917,BK-917,true,1 Ltr x 5,1 Ltr x 5,true,Rhizobium spp 1 Ltr x 5,Katyayani Rhizobium spp 1 Ltr x 5,false,5.5,5.5,true,5,5,true,5,5,true,,,Katyayani Rhizobium spp 1 Ltr x 5,false,1 Ltr x 5,true,5.5,true,5,true,5,true,Fertilizer,true,Bio Fertilizer,true,BK-917,true,displayName,,
Fertilizer,Fertilizer,true,Bio Fertilizer,Bio Fertilizer,true,K-72,,K-69,,,BK-917,BK-917,true,1 Ltr x 10,1 Ltr x 10,true,Rhizobium spp 1 Ltr x 10,Katyayani Rhizobium spp 1 Ltr x 10,false,11,11,true,10,10,true,10,10,true,,,Katyayani Rhizobium spp 1 Ltr x 10,false,1 Ltr x 10,true,11,true,10,true,10,true,Fertilizer,true,Bio Fertilizer,true,BK-917,true,displayName,,
Fertilizer,Fertilizer,true,Bio Fertilizer,Bio Fertilizer,true,K-5988,,K-5988,,,BK-917,BK-917,true,25LTR X 1,25LTR X 1,true,Rhizobium spp 25LTR X 1,Katyayani Rhizobium spp 25LTR X 1,false,27.5,27.5,true,25,25,true,1,1,true,,,Katyayani Rhizobium spp 25LTR X 1,false,25LTR X 1,true,27.5,true,25,true,1,true,Fertilizer,true,Bio Fertilizer,true,BK-917,true,displayName,,
Fertilizer,Fertilizer,true,Bio Fertilizer,Bio Fertilizer,true,K-73,,K-73,,,BK-994,BK-994,true,1 Ltr x 1,1 Ltr x 1,true,Azotobacter spp 1 Ltr x 1,Katyayani Azotobacter spp 1 Ltr x 1,false,1.1,1.1,true,1,1,true,1,1,true,,,Katyayani Azotobacter spp 1 Ltr x 1,false,1 Ltr x 1,true,1.1,true,1,true,1,true,Fertilizer,true,Bio Fertilizer,true,BK-994,true,displayName,,
Fertilizer,Fertilizer,true,Bio Fertilizer,Bio Fertilizer,true,K-74,,K-73,,,BK-994,BK-994,true,1 Ltr x 3,1 Ltr x 3,true,Azotobacter spp 1 Ltr x 3,Katyayani Azotobacter spp 1 Ltr x 3,false,3.3,3.3,true,3,3,true,3,3,true,,,Katyayani Azotobacter spp 1 Ltr x 3,false,1 Ltr x 3,true,3.3,true,3,true,3,true,Fertilizer,true,Bio Fertilizer,true,BK-994,true,displayName,,
Fertilizer,Fertilizer,true,Bio Fertilizer,Bio Fertilizer,true,K-75,,K-73,,,BK-994,BK-994,true,1 Ltr x 5,1 Ltr x 5,true,Azotobacter spp 1 Ltr x 5,Katyayani Azotobacter spp 1 Ltr x 5,false,5.5,5.5,true,5,5,true,5,5,true,,,Katyayani Azotobacter spp 1 Ltr x 5,false,1 Ltr x 5,true,5.5,true,5,true,5,true,Fertilizer,true,Bio Fertilizer,true,BK-994,true,displayName,,
Fertilizer,Fertilizer,true,Bio Fertilizer,Bio Fertilizer,true,K-76,,K-73,,,BK-994,BK-994,true,1 Ltr x 10,1 Ltr x 10,true,Azotobacter spp 1 Ltr x 10,Katyayani Azotobacter spp 1 Ltr x 10,false,11,11,true,10,10,true,10,10,true,,,Katyayani Azotobacter spp 1 Ltr x 10,false,1 Ltr x 10,true,11,true,10,true,10,true,Fertilizer,true,Bio Fertilizer,true,BK-994,true,displayName,,
Fertilizer,Fertilizer,true,Bio Fertilizer,Bio Fertilizer,true,K-6371,,K-6371,,,BK-994,BK-994,true,25 ltr x 1,25 ltr x 1,true,Azotobacter spp 25 ltr x 1,Katyayani Azotobacter spp 25 ltr x 1,false,27.5,27.5,true,25,25,true,1,1,true,,,Katyayani Azotobacter spp 25 ltr x 1,false,25 ltr x 1,true,27.5,true,25,true,1,true,Fertilizer,true,Bio Fertilizer,true,BK-994,true,displayName,,
