"skuDisplayName","parentDisplayName","sku","parentSku","itemQty","skuGrossWeight","parentGrossWeight","expectedGrossWeight"
"Katyayani SPINO25 - Spinosad 2.5 % SC 500ml x 1","Katyayani SPINO25 - Spinosad 2.5 % SC 100 ml x 1","K-5800","K-1245",1,0.55,0.11,0.11
"Katyayani KPOP- Propoxur 20% EC 100ml x 1","Katyayani KPOP- Propoxur 20% EC 1 ltr x 10","K-5852","K-426",1,0.11,11,11
"Katyayani Cotton Bollworm Lure (HELICOVERPA ARMIGERA) 1 Pc x 20","Katyayani Diamond Back Moth Lure (PLUTELLA XYLOSTELLA) 1 Pc x 5","K-891","K-893",20,0.066,0.0165,0.33
"Katyayani Diamond Back Moth Lure (PLUTELLA XYLOSTELLA) 1 Pc x 10","Katyayani Diamond Back Moth Lure (PLUTELLA XYLOSTELLA) 1 Pc x 5","K-894","K-893",10,0.033,0.0165,0.165
"Katyayani Eggplant Fruit & Shoot Borer Lure (LEUCINODES ORBONALIS) 1 Pc x 20","Katyayani Eggplant Fruit & Shoot Borer Lure (LEUCINODES ORBONALIS) 1 Pc x 5","K-899","K-897",20,0.066,0.0165,0.33
"Katyayani Fall Army Worm Lure (SPODOPTERA FRUGIPERDA) 1 Pc x 10","Katyayani Fall Army Worm Lure (SPODOPTERA FRUGIPERDA) 1 Pc x 5","K-902","K-901",10,0.033,0.0165,0.165
"Katyayani Red Palm Weevil Lure (RHYNCHOPHORUS FERRUGINEUS) 1 Pc x 20","Katyayani Red Palm Weevil Lure (RHYNCHOPHORUS FERRUGINEUS) 1 Pc x 5","K-915","K-913",20,0.066,0.0165,0.33
"Katyayani Eggplant Fruit & Shoot Borer Lure (LEUCINODES ORBONALIS) 1 Pc x 50","Katyayani Eggplant Fruit & Shoot Borer Lure (LEUCINODES ORBONALIS) 1 Pc x 5","K-900","K-897",50,0.165,0.0165,0.8250000000000001
"Katyayani Melon Fly Lure (BACTROCERA CUCURBITAE) 1 Pc x 20","Katyayani Melon Fly Lure (BACTROCERA CUCURBITAE) 1 Pc x 5","K-911","K-909",20,0.066,0.0165,0.33
"Katyayani Fall Army Worm Lure (SPODOPTERA FRUGIPERDA) 1 Pc x 50","Katyayani Fall Army Worm Lure (SPODOPTERA FRUGIPERDA) 1 Pc x 5","K-904","K-901",50,0.165,0.0165,0.8250000000000001
"Katyayani Fall Army Worm Lure (SPODOPTERA FRUGIPERDA) 1 Pc x 20","Katyayani Fall Army Worm Lure (SPODOPTERA FRUGIPERDA) 1 Pc x 5","K-903","K-901",20,0.066,0.0165,0.33
"Katyayani Chloropriphos 20 % ec 5 Ltr  x 20","Katyayani Chloropriphos 20 % ec 1 Ltr x 1","K-1287","K-1281",20,110,1.1,22
"Katyayani Beetle Lure (DYNASTINAE) 1 Pc x 10","Katyayani Beetle Lure (DYNASTINAE) 1 Pc x 5","K-887","K-886",10,0.033,0.0165,0.165
"Katyayani White Grub Lure (HOLOTRICHIA CONSANGUINEA/SERRATA) 1 Pc x 20","Katyayani White Grub Lure (HOLOTRICHIA CONSANGUINEA/SERRATA) 1 Pc x 5","K-922","K-920",20,0.066,0.0165,0.33
"Katyayani Cotton Bollworm Lure (HELICOVERPA ARMIGERA) 1 Pc x 10","Katyayani Diamond Back Moth Lure (PLUTELLA XYLOSTELLA) 1 Pc x 5","K-890","K-893",10,0.033,0.0165,0.165
"Katyayani Red Palm Weevil Lure (RHYNCHOPHORUS FERRUGINEUS) 1 Pc x 10","Katyayani Red Palm Weevil Lure (RHYNCHOPHORUS FERRUGINEUS) 1 Pc x 5","K-914","K-913",10,0.033,0.0165,0.165
