sku,correctedParentSku
K-5936,K-5977
K-5937,K-5977
K-5938,K-5977
K-7378,K-7378
K-7411,K-7411
K-7537,K-7537
K-7406,K-7406
K-278,K-7405
K-7508,K-7508
K-7536,K-7536
K-7307,K-7307
K-7300,K-7300
K-7314,K-7314
K-7310,K-7310
K-7566,K-7310
K-7567,K-7310
K-7458,K-7458
K-7439,K-7439
K-6998,K-6998
K-7446,K-7446
K-7654,K-353
K-7374,K-7374
K-7348,K-7348
K-7264,K-7264
K-5800,K-5800
K-7441,K-7441
K-7002,K-7002
K-5852,K-5852
K-7540,K-7540
K-938,K-1305
K-7564,K-7564
K-7000,K-7000
K-7041,K-7041
K-1265,K-5209
K-1263,K-5209
K-1264,K-5209
K-7505,K-7505
K-7362,K-7362
K-7552,K-7552
K-7265,K-7265
K-7651,K-5872
K-7652,K-5872
K-7653,K-5872
K-7509,K-7509
K-7570,K-7571
K-7571,K-7571
K-7504,K-7504
K-7335,K-7335
K-7576,K-7576
K-7266,K-7266
K-7442,K-7442
K-7558,K-7558
K-7522,K-7522
K-6042,K-6040
K-6043,K-6040
K-6044,K-6040
K-7381,K-7381
K-7440,K-7440
K-7554,K-7554
K-7555,K-7555
K-7444,K-7444
K-7520,K-7520
K-7521,K-7521
K-7542,K-7542
K-7543,K-7543
K-7563,K-7563
K-628,K-6090
K-6320,K-999
K-7082,K-7082
K-865,K-865
K-7242,K-06
K-7299,K-7299
K-7313,K-7313
K-873,K-5303
K-931,K-5311
K-1057,K-40
K-7267,K-7267
K-7568,K-7568
K-7538,K-7538
K-7553,K-7553
K-7569,K-7569
K-7582,K-7582
K-5285,
K-7557,K-7557
K-825,K-824
K-7235,K-7235
K-7003,K-7003
K-7308,K-7308
K-7539,K-7539
K-883,K-6435
K-884,K-6435
K-885,K-6435
K-887,K-5788
K-888,K-5788
K-889,K-5788
K-890,K-6812
K-891,K-6812
K-892,K-6812
K-894,K-6813
K-895,K-6813
K-896,K-6813
K-898,K-5820
K-899,K-5820
K-900,K-5820
K-902,K-6436
K-903,K-6436
K-904,K-6436
K-910,K-5836
K-911,K-5836
K-912,K-5836
K-914,K-5837
K-915,K-5837
K-916,K-5837
K-917,K-6052
K-918,K-6052
K-919,K-6052
K-921,K-7237
K-922,K-7237
K-923,K-7237
K-925,K-7238
K-926,K-7238
K-927,K-6424
K-928,K-6424
K-929,K-6424
K-7098,K-7388
K-7113,K-7389
K-7122,K-7390
K-7130,K-7391
K-7573,K-7276
K-7574,K-7276
K-7575,K-7276
K-7132,K-7394
K-7134,K-7395
K-7136,K-7396
K-7137,K-7397
K-7138,K-7397
K-7316,K-7316
K-7361,K-7361
K-7435,K-7435
K-7407,K-7407
K-7408,K-7408
K-7412,K-7412
K-7447,K-7447
K-7448,K-7448
K-7503,K-7503
K-7515,K-7515
K-7529,K-7529
K-7530,K-7530
K-7531,K-7531
K-7532,K-7532
K-7581,K-7581
K-7533,K-7533
K-7152,K-6562
K-7153,K-6562
K-7436,K-7436
K-7577,K-7577
K-7578,K-7577
K-7579,K-7577
K-7580,K-7577
K-7585,K-7585
K-7586,K-7585
K-7587,K-7585
K-7588,K-7585
K-7589,K-7589
K-7590,K-7589
K-7591,K-7589
K-7592,K-7589
K-7593,K-7589
K-7594,K-7594
K-7595,K-7594
K-7596,K-7594
K-7597,K-7594
K-7598,K-7663
K-7598,K-7663
K-7599,K-7663
K-7462,K-7462
K-7572,K-7572
K-7287,K-7287
K-7090,K-7387
K-7170,K-7398
K-7172,K-7399
K-7174,K-7400
K-7176,K-7401
K-7600,
K-7601,
K-7602,K-7602
K-7603,K-7602
K-7604,K-7602
K-7605,K-7602
K-7606,K-7606
K-7607,K-7606
K-7608,K-7606
K-7609,K-7606
K-7610,K-6667
K-7611,K-6667
K-7612,K-6666
K-7613,K-6666
K-7614,K-6666
K-7551,K-7551
